asin,name,brand,price,regular_price,total_reviews,average_rating,seller,seller_url,availability_status,availability_quantity,shipping_charge,is_prime,author,available_book_formats,is_aplus_page,small_description,full_description,images,video_count,productCategory,url,attributes,size,color,model,product_information,parent_asin,variation_asin,product_variations,product_condition,frequently_bought_together,product_badges,five_star,four_star,three_star,two_star,one_star
B0CJM1GNFQ,"Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",Amazon,$49.99,,"41,562",4.7,Amazon.com,,In Stock,,,True,,,False,"Advanced 4K streaming - Elevate your entertainment with the next generation of our best-selling 4K stick, with improved streaming performance. - Play Xbox games with no console required - Stream Forza Motorsport, Starfield, Palworld, and discover hundreds of other high-quality games directly on your Fire TV Stick 4K with Xbox Game Pass Ultimate via cloud gaming. - Wi-Fi 6 support - Enjoy smooth 4K streaming, even when other devices are connected to your router. - Cinematic experience - Watch in vibrant 4K Ultra HD with support for Dolby Vision, HDR10+, and immersive Dolby Atmos audio. - Endless entertainment - Stream more than 1.5 million movies and TV episodes. Watch favorites from Netflix, Prime Video, Disney+, Max, and more. Subscription fees may apply. - Stream for free - Access over 300,000 free movies and TV episodes from popular ad-supported streaming apps like Fire TV Channels, Amazon Freevee, Tubi, and Pluto TV. - Alexa Voice Remote - Quickly find, launch, and control content with your voice. Get to your favorite apps with preset buttons, and control TV power and volume with one remote. - Do more with your smart home - Control compatible devices like cameras, lights, and more with your remote. Press and ask Alexa to check the weather or dim the lights.",,"['https://m.media-amazon.com/images/I/51ZZwZ-YxTL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/417H5BZf2LL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/6122gxL-RFL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51hbAmenwXL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61fgccPl4oL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61R7UI0K3-L._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B0CJM1GNFQ?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,configuration: Fire TV Stick 4K,,,,{},B0CDR2MSVC,"[{'configuration': 'Fire TV Stick 4K', 'asin': 'B0CJM1GNFQ'}]",{'configuration': ['Fire TV Stick 4K']},new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",83%,10%,3%,1%,3%
B0B1N5FK48,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 3 camera system",Blink,$259.99,,"25,041",4.2,Amazon.com,,In Stock,,,True,,,False,"Outdoor 4 is our fourth generation wire-free smart security camera that helps you protect your home inside and out right from your smartphone. - See and speak from the Blink app — Experience 1080p HD live view, infrared night vision, and crisp two-way audio. - Two-year battery life — Set up yourself in minutes and get up to two years of power with the included AA lithium batteries. - Enhanced motion detection — Be alerted to motion faster from your smartphone with dual-zone, enhanced motion detection. - Person detection — Get alerts when a person is detected with embedded computer vision (CV) as part of an optional Blink Subscription Plan (sold separately). - Save and share clips — Choose to store events in the cloud with a free 30-day trial of the Blink Subscription Plan or locally with the Sync Module 2 (included) plus a USB drive (sold separately). - Works with Alexa — Connect to an Alexa-enabled device to engage live view, arm and disarm your system, and more using your voice. - Includes three Outdoor 4 cameras, one Sync Module 2, six AA lithium metal batteries, three mounting kits, one USB cable, and one power adapter.",,"['https://m.media-amazon.com/images/I/61fMC8pY0uL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/41PtM0usvoL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/617qmOY-L9L._SL1000_.jpg', 'https://m.media-amazon.com/images/I/61nbii+TkBL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/61uzxa12e7L._SL1000_.jpg', 'https://m.media-amazon.com/images/I/61tp4gR52hL._SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B0B1N5FK48?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"size: 3 Camera System, configuration: Device Only, style: Camera (2-year battery life)",3 Camera System,,,{},B0C32KN8DC,"[{'size_name': '5 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera + Battery Pack (4-year battery life)', 'asin': 'B0CY7H53F8'}, {'size_name': '3 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera + Battery Pack (4-year battery life)', 'asin': 'B0CY75SD82'}, {'size_name': '3 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0B1N5FK48'}, {'size_name': '1 Camera System', 'configuration': 'Device Only', 'style_name': 'Save with Subscription', 'asin': 'B0CTMQXX8Y'}, {'size_name': '5 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0B1N4LM4J'}, {'size_name': 'Add-on Camera', 'configuration': 'Device Only', 'style_name': 'Camera + Battery Pack (4-year battery life)', 'asin': 'B0CY7FHKNT'}, {'size_name': '1 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera + Battery Pack (4-year battery life)', 'asin': 'B0CY6T75B7'}, {'size_name': '2 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0B1N6B8QT'}, {'size_name': '4 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0BWFDK7Y4'}, {'size_name': '2 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera + Battery Pack (4-year battery life)', 'asin': 'B0CY77ZHBV'}, {'size_name': '3 Camera System', 'configuration': 'Device Only', 'style_name': 'Save with Subscription', 'asin': 'B0CJWLGJ5R'}, {'size_name': '6 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0DGM1M7GB'}, {'size_name': 'Add-on Camera', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0B1N7LJD3'}, {'size_name': '8 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0DGMQY5B8'}, {'size_name': '1 Camera System', 'configuration': 'Device Only', 'style_name': 'Camera (2-year battery life)', 'asin': 'B0B1N5HW22'}, {'size_name': '5 Camera System', 'configuration': 'Device Only', 'style_name': 'Save with Subscription', 'asin': 'B0CV6YDJ97'}, {'size_name': '2 Camera System', 'configuration': 'Device Only', 'style_name': 'Save with Subscription', 'asin': 'B0CHN7KX54'}]","{'size_name': ['1 Camera System', '2 Camera System', '3 Camera System', '4 Camera System', '5 Camera System', '6 Camera System', '8 Camera System', 'Add-on Camera'], 'configuration': ['Device Only'], 'style_name': ['Camera (2-year battery life)', 'Camera + Battery Pack (4-year battery life)', 'Save with Subscription']}",new,[],[],65%,13%,6%,5%,11%
B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",Amazon,$39.99,,"498,745",4.7,Amazon.com,,In Stock,,,True,,,False,"50% more powerful than the previous generation for fast streaming in Full HD. Includes Alexa Voice Remote with power and volume buttons. - Stream more than 1.5 million movies and TV episodes from Netflix, Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply. - Watch your favorite live TV, news, and sports with subscriptions to SLING TV, YouTube TV, and others. Use the Guide button to see what's available and when. - Access over 300,000 free movies and TV episodes from popular ad-supported streaming apps like Amazon Freevee, Tubi, Pluto TV and more. - Listen on Amazon Music, Spotify, Pandora, and others. Subscription fees may apply. - Alexa Voice Remote lets you use your voice to search and launch shows across apps. All-new preset buttons get you to favorite apps quickly. Plus, control power and volume on your TV and soundbar with a single remote. - Feel scenes come to life with immersive Dolby Atmos audio on select titles with compatible home audio systems. - Plug in behind your TV, turn on the TV, and connect to the internet to get set up.",,"['https://m.media-amazon.com/images/I/71Wt1thqZEL._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/51TjJOTfslL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61I7hn0PIOL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/71qq7ryjLEL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/5170vwLckbL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61em0NFSWKL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61ZU0QSx-QL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B08C1W5N87?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,configuration: Fire TV Stick,,,,{},B08WJSHSLC,"[{'configuration': 'Fire TV Stick', 'asin': 'B08C1W5N87'}]",{'configuration': ['Fire TV Stick']},new,[],[],82%,11%,3%,1%,3%
B0BP9SNVH9,"Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",Amazon,$59.99,,"35,334",4.6,Amazon.com,,In Stock,,,True,,,False,"Elevate your entertainment experience with a powerful processor for lightning-fast app starts and fluid navigation. - Play Xbox games with no console required - Stream Forza Motorsport, Starfield, Palworld, and discover hundreds of other high-quality games directly on your Fire TV Stick 4K Max with Xbox Game Pass Ultimate via cloud gaming. - Enjoy the show in 4K Ultra HD, with support for Dolby Vision, HDR10+, and immersive Dolby Atmos audio. - Enjoy smoother 4K streaming, even when other devices are connected to your router. - The first-ever streaming stick with Fire TV Ambient Experience lets you display over 2,000 pieces of museum-quality art and photography. - Fire TV Stick 4K Max has 16GB of storage—double that of Fire TV Stick 4K and our other streaming sticks, for even more apps, games and downloads. - Stream more than 1.5 million movies and TV episodes. Watch favorites from Netflix, Prime Video, Disney+, Max, and more, plus listen to millions of songs. Subscription fees may apply. - Control your TV and connected devices with an upgraded remote that includes voice control, a recents button, and dedicated channel buttons to surf live TV. - Enjoy fluid gameplay and fast-rendering graphics with a lightning-fast processor. Access popular games with an Amazon Luna subscription—no console required.",,"['https://m.media-amazon.com/images/I/61S7TCVVe8L._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/41P0qtzxWSL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/618CIwsks7L._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51Pwy7bc5PL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61B35b+Rl+L._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/71qq7ryjLEL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61Y5JoeVsGL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B0BP9SNVH9?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,configuration: Fire TV Stick 4K Max,,,,{},B0CDR3P78V,"[{'configuration': 'Fire TV Stick 4K Max', 'asin': 'B0BP9SNVH9'}]",{'configuration': ['Fire TV Stick 4K Max']},new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",80%,11%,3%,1%,4%
B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",Blink,$59.99,,"150,459",4.2,Amazon.com,,In Stock,,,True,,,False,"Answer your door no matter where you are from your smartphone with 1080p HD day and infrared night video and two-way audio. - Experience long-lasting battery life, custom alerts, privacy settings, and more. - Get alerts when motion is detected or someone presses Video Doorbell. Connect to existing doorbell wiring or pair with a Sync Module (sold separately) to engage live view and two-way audio on demand. - Choose to save and share clips in the cloud with a free 30-day trial of the Blink Subscription Plan or locally with the Sync Module 2 and USB drive (each sold separately). - Designed for every home, go wire-free or connect to doorbell wiring to also sound your existing in-home chime. Without wiring, you can use your Blink Mini camera (sold separately) as an indoor plug-in chime. - Set up yourself in minutes with the two included AA lithium batteries then connect to wifi in the app. - Works with Alexa — receive alerts and answer with two-way audio. When wired or paired with a Sync Module, just ask Alexa to answer the front door. - Includes one Video Doorbell, 2 AA 1.5V Lithium Batteries, 4 Screws, 1 Case Opening Tool. Does not include Sync Module 2 which can be found in all “Systems” above (recommended for optimal use while on battery).",,"['https://m.media-amazon.com/images/I/51dsSz67jtL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/41te-uzWxDL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61asMf-3pTL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61zzicZVjJL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/619mMig19mL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51VE1C6BRiL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B08SG2MS3V?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"color: Black, style: Video Doorbell",,Black,,{},B0BM2YG2K7,"[{'color_name': 'White', 'style_name': 'Video Doorbell System', 'asin': 'B08SGR2G65'}, {'color_name': 'Black', 'style_name': 'Video Doorbell System', 'asin': 'B08SGC46M9'}, {'color_name': 'Black', 'style_name': 'Video Doorbell', 'asin': 'B08SG2MS3V'}, {'color_name': 'White', 'style_name': 'Video Doorbell', 'asin': 'B08SGKLDRV'}]","{'color_name': ['Black', 'White'], 'style_name': ['Video Doorbell', 'Video Doorbell System']}",new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",66%,13%,7%,4%,9%
B09TMN58KL,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",Amazon,,,"61,381",4.7,,,Currently unavailable.,,,False,,,False,"Kindle Paperwhite – Now with a 6.8” display and thinner borders, adjustable warm light, up to 10 weeks of battery life, and 20% faster page turns. - Purpose-built for reading – With a flush-front design and 300 ppi glare-free display that reads like real paper, even in bright sunlight. - More books in more places – Store thousands of titles, then take them all with you. A single charge via USB-C last weeks, not hours. - Easy on the eyes – Now with adjustable warm light to shift screen shade from white to amber. - Waterproof reading – Built to withstand accidental immersion in water, so you’re good from the beach to the bath. - Find new stories – With Kindle Unlimited, get unlimited access to over 2 million titles, thousands of audiobooks, and more. - Go hands-free – Pair with an Audible subscription and Bluetooth headphones or speakers to listen to your story.",,"['https://m.media-amazon.com/images/I/71FWKtSIYUL._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/51QCk82iGcL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/71d6+Ib9muL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61FPneVqEpL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61wpBGaXTLL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51627vI8XvL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B09TMN58KL?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"digital_storage_capacity: 16 GB, configuration: Lockscreen Ad-Supported, color: Black, style: Without Kindle Unlimited",,Black,,{},B09F7TGV1H,"[{'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Black', 'style_name': 'Without Kindle Unlimited', 'asin': 'B0B9YSHFJR'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Agave Green', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BS9ZVRY9'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Agave Green', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BSB14Y8S'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Agave Green', 'style_name': 'Without Kindle Unlimited', 'asin': 'B0B9Z7SYPB'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Agave Green', 'style_name': 'Without Kindle Unlimited', 'asin': 'B09TMZKQR7'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Black', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BDCCG44G'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Denim', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BS79TW5D'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Denim', 'style_name': 'Without Kindle Unlimited', 'asin': 'B0B9YZSXB7'}, {'digital_storage_capacity': '8 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Black', 'style_name': 'Without Kindle Unlimited', 'asin': 'B09RD7XM9X'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Black', 'style_name': 'Without Kindle Unlimited', 'asin': 'B09TMN58KL'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Denim', 'style_name': 'Without Kindle Unlimited', 'asin': 'B095J2XYWX'}, {'digital_storage_capacity': '8 GB', 'configuration': 'Lockscreen Ad-Supported', 'color_name': 'Black', 'style_name': 'Without Kindle Unlimited', 'asin': 'B08KTZ8249'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Denim', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BS8KVPQW'}, {'digital_storage_capacity': '16 GB', 'configuration': 'Without Lockscreen Ads', 'color_name': 'Black', 'style_name': 'With 3 Months Free Kindle Unlimited', 'asin': 'B0BDCMBKB4'}]","{'digital_storage_capacity': ['8 GB', '16 GB'], 'configuration': ['Lockscreen Ad-Supported', 'Without Lockscreen Ads'], 'color_name': ['Agave Green', 'Black', 'Denim'], 'style_name': ['With 3 Months Free Kindle Unlimited', 'Without Kindle Unlimited']}",new,[],[],85%,8%,3%,1%,3%
B09B8V1LZ3,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",Amazon,$49.99,$49.99,"127,943",4.6,Amazon.com,,In Stock,,,True,,,False,"Our best sounding echo dot yet – Enjoy an improved audio experience compared to any previous Echo Dot with Alexa for clearer vocals, deeper bass and vibrant sound in any room. - Your favorite music and content – Play music, audiobooks, and podcasts from Amazon Music, Apple Music, Spotify and others or via Bluetooth throughout your home. - Alexa is happy to help – Ask Alexa for weather updates and to set hands-free timers, get answers to your questions and even hear jokes. Need a few extra minutes in the morning? Just tap your Echo Dot to snooze your alarm. - Keep your home comfortable – Control compatible smart home devices with your voice and routines triggered by built-in motion or indoor temperature sensors. Create routines to automatically turn on lights when you walk into a room, or use your Echo device as temperature sensor with the Amazon Smart Thermostat to run your HVAC if the inside temperature goes above your comfort zone. - Designed to protect your privacy – Amazon is not in the business of selling your personal information to others. Built with multiple layers of privacy controls, including a mic off button. - Do more with device pairing– Fill your home with music using compatible Echo devices in different rooms, create a home theatre system with Fire TV, or extend wifi coverage with a compatible eero network so you can say goodbye to drop-offs and buffering.",,"['https://m.media-amazon.com/images/I/71yRY8YlAbL._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/518cRYanpbL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51-A6wXntrL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61E80QtGeCL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61fwSROHMNL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61tkIVVy5mL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61bL3bcaoeL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B09B8V1LZ3?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"configuration: Device only, color: Charcoal",,Charcoal,,{},B0BF73CTQF,"[{'configuration': 'Device only', 'color_name': 'Glacier White', 'asin': 'B09B94RL1R'}, {'configuration': 'Device only', 'color_name': 'Deep Sea Blue', 'asin': 'B09B93ZDG4'}, {'configuration': 'Device only', 'color_name': 'Charcoal', 'asin': 'B09B8V1LZ3'}]","{'configuration': ['Device only'], 'color_name': ['Charcoal', 'Deep Sea Blue', 'Glacier White']}",new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",80%,12%,4%,1%,3%
B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",Blink,$29.99,,"292,786",4.4,Amazon.com,,In Stock,,,True,,,False,"Monitor the inside of your home day and night with our 1080P HD indoor plug-in smart security camera with motion detection and two-way audio. - See, hear, and speak to people and pets in your home from your smartphone with Blink Mini’s live view and two-way audio. - Get alerts on your smartphone whenever motion is detected or customize motion detection zones so you can see what matters most. - Use Mini as an indoor plug-in chime for Blink Video Doorbell. Hear a real-time alert from Mini when someone presses your Video Doorbell. - Choose to save and share clips with a free 30-day trial of the Blink Subscription Plan or locally with the Sync Module 2 (sold separately). - Set up in minutes — plug in the camera, connect it to wifi, and follow the instructions in the free Blink Home Monitor app. - Works with Alexa — pair Blink Mini with a supported Alexa-enabled device to engage live view, arm and disarm your camera, and more using your voice. - Include 1 Blink Mini camera (white), mounting kit including stand, USB cable, and power adapter.",,"['https://m.media-amazon.com/images/I/51vncWY4ROL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/31k4JysPQ5L.jpg', 'https://m.media-amazon.com/images/I/41iQH85g1MS.jpg', 'https://m.media-amazon.com/images/I/41jqOZv4m-S.jpg', 'https://m.media-amazon.com/images/I/41Wb-56yPIS.jpg']",10,,https://www.amazon.com/-/dp/B07X6C9RMF?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"configuration: 1 Camera, color: White",,White,,{},B0BWD4WGJB,"[{'configuration': '2 Cameras', 'color_name': 'White', 'asin': 'B07X27VK3D'}, {'configuration': '1 Camera', 'color_name': 'Black', 'asin': 'B09N6V1FHG'}, {'configuration': '3 Cameras', 'color_name': 'White', 'asin': 'B08PBR83NM'}, {'configuration': '1 Camera', 'color_name': 'White', 'asin': 'B07X6C9RMF'}, {'configuration': '3 Cameras', 'color_name': 'Black', 'asin': 'B09Y52VM8W'}, {'configuration': '2 Cameras', 'color_name': 'Black', 'asin': 'B09N6QBMTW'}, {'configuration': '4 Cameras', 'color_name': 'White', 'asin': 'B08PBPTQNH'}]","{'configuration': ['1 Camera', '2 Cameras', '3 Cameras', '4 Cameras'], 'color_name': ['Black', 'White']}",new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",71%,14%,7%,3%,6%
B091G4YP57,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",Amazon,$29.99,,"71,652",4.6,Amazon.com,,In Stock,,,True,,,False,"Our most affordable Fire TV streaming stick - Enjoy fast streaming in Full HD. Comes with Alexa Voice Remote Lite. - Great for new users - Start streaming with access to over 300,000 free movies and TV episodes from ad-supported streaming apps like Amazon Freevee, Tubi, Pluto TV, and more. - Easy to set up, stays hidden - Plug in behind your TV, turn on the TV, and connect to the internet to get set up. - Press and ask Alexa - Use your voice to easily search and launch shows across multiple apps. - Endless entertainment - Stream more than 1.5 million movies and TV episodes from Netflix, Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply. - Live TV - Watch your favorite live TV, news, and sports with subscriptions to SLING TV, YouTube TV, and others. - Enjoy music - Listen on Amazon Music, Spotify, Pandora, and others. Subscription fees may apply. - Control your smart home - Ask Alexa to check weather, dim the lights, view live camera feeds, stream music and more.",,"['https://m.media-amazon.com/images/I/61x4Sru7fTL._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/41DTzx56EWL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51OslRPI+lL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/71qq7ryjLEL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51nChqjapwL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51BS+bpdzTL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61NHBsQbLlL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B091G4YP57?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,configuration: Fire TV Stick Lite,,,,{},B09KWWZ67B,"[{'configuration': 'Fire TV Stick Lite', 'asin': 'B091G4YP57'}]",{'configuration': ['Fire TV Stick Lite']},new,[],"[{'badge': ""Amazon's Choice"", 'badge_text': None}]",80%,11%,4%,1%,4%
B0BZWRSRWV,"All-new Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel",Ring,$99.99,,194,4.3,Amazon.com,,In Stock,,,True,,,False,"See more — Get 66% more vertical coverage with the latest version of Ring’s best-selling Video Doorbell (2nd Gen), now featuring Head-to-Toe Video. - Built-In Battery — Battery Doorbell includes a built-in battery, which charges with a convenient USB-C charging port. To recharge, simply detach your doorbell from the wall and connect to the included charging cable. - Install in a Snap — Charge it up, click into place, and stay connected right from your phone. - Connect to who’s there — See and respond to activity with Live View & Two-Way Talk. - Stay in the know — Receive real-time alerts on your phone when motion is detected. - Get Smart Alerts — Know more with notifications that tell you if there's a person or package at your door (subscription required, sold separately). - Additional protection — With a Ring Protect Plan (subscription sold separately), record all your videos, review stored videos for up to 180 days (photos for 7 days), and share videos. - Connect with Alexa — Hear custom notifications from Echo Dot, launch video with Echo Show, and enjoy hands-free home monitoring with select Alexa-enabled devices.",,"['https://m.media-amazon.com/images/I/51QiRXtcdoL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61vE894jVGL._AC_SL1500_.jpg', 'https://m.media-amazon.com/images/I/617xX4jN+ML._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61wHQ37ih4L._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61YQrvmxNTL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/51e-SE6drXL._AC_SL1000_.jpg', 'https://m.media-amazon.com/images/I/61E4cssPuDL._AC_SL1000_.jpg']",10,,https://www.amazon.com/-/dp/B0BZWRSRWV?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,"size: 1 Doorbell, color: Satin Nickel",1 Doorbell,Satin Nickel,,{},B0DB7S5SP2,"[{'size_name': '1 Doorbell', 'color_name': 'Satin Nickel', 'asin': 'B0BZWRSRWV'}]","{'size_name': ['1 Doorbell'], 'color_name': ['Satin Nickel']}",new,"[{'title': 'Ring Chime', 'link': 'https://www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=pd_bxgy_d_sccl_1/000-0000000-0000000?pd_rd_w=5KpUf&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=DJ6D07AKDG111FW04VSD&pd_rd_wg=IkU1r&pd_rd_r=6497c4a8-ab78-4193-b4fd-2ce0720c7827&pd_rd_i=B09L45VFCN&psc=1', 'price': '$34.99'}, {'title': 'Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White', 'link': 'https://www.amazon.com/Ring-Battery-security-privacy-controls/dp/B0C5QRZ47P/ref=pd_bxgy_d_sccl_2/000-0000000-0000000?pd_rd_w=5KpUf&content-id=amzn1.sym.3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_p=3858a394-39a9-4946-90e6-86a3153d2546&pf_rd_r=DJ6D07AKDG111FW04VSD&pd_rd_wg=IkU1r&pd_rd_r=6497c4a8-ab78-4193-b4fd-2ce0720c7827&pd_rd_i=B0C5QRZ47P&psc=1', 'price': '$99.99'}]","[{'badge': ""Amazon's Choice"", 'badge_text': None}]",71%,11%,5%,4%,8%
